package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-QUEUE	QUEUE-COUNT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-QUEUE	MAKE-QUEUE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-QUEUE	QUEUE	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-QUEUE	QUEUE-EMPTY-P	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-QUEUE	DEQUEUE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-QUEUE	QUEUEP	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-QUEUE	LIST-QUEUE-CONTENTS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-QUEUE	ENQUEUE	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-QUEUE	QUEUE-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
