package	symbol	function	macro	special-operator	variable	constant	type	class	condition	fboundp	boundp	find-class	sb-int-type-kind
SB-MOP	REMOVE-DIRECT-SUBCLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	ADD-METHOD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	ENSURE-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	GENERIC-FUNCTION-METHODS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	GENERIC-FUNCTION-DECLARATIONS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	ADD-DIRECT-METHOD	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	COMPUTE-DEFAULT-INITARGS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	CLASS-DIRECT-SLOTS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	READER-METHOD-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	METHOD-QUALIFIERS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	SLOT-DEFINITION-INITFORM	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	ENSURE-GENERIC-FUNCTION	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	FUNCALLABLE-STANDARD-INSTANCE-ACCESS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	SPECIALIZER-DIRECT-GENERIC-FUNCTIONS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	EQL-SPECIALIZER-OBJECT	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	FUNCALLABLE-STANDARD-CLASS	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	STANDARD-EFFECTIVE-SLOT-DEFINITION	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	EXTRACT-SPECIALIZER-NAMES	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	ENSURE-CLASS-USING-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	SLOT-DEFINITION-NAME	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	DIRECT-SLOT-DEFINITION-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	STANDARD-GENERIC-FUNCTION	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	METHOD-COMBINATION	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	FUNCALLABLE-STANDARD-OBJECT	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	SLOT-MAKUNBOUND-USING-CLASS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	STANDARD-OBJECT	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	CLASS-DEFAULT-INITARGS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	DIRECT-SLOT-DEFINITION	no	no	no	no	no	no	yes	no	no	no	yes	yes
SB-MOP	CLASS-SLOTS	yes	no	no	no	no	no	no	no	yes	no	no	no
SB-MOP	ALLOCATE-INSTANCE	yes	no	no	no	no	no	no	no	yes	no	no	no
