package	symbol	kind	crate	phase	direct-expansion	notes
NCL-FFI	FIND-DYNAMIC-FOREIGN-SYMBOL-ADDRESS	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	FIND-FOREIGN-SYMBOL-ADDRESS	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	FOREIGN-SYMBOL-ADDRESS	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	FOREIGN-SYMBOL-DATAREF-POINTER	other	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	FOREIGN-SYMBOL-POINTER	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	INT-POINTER	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	INVALIDATE-DESCRIPTOR	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	MEMMOVE	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER+	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-FOREIGN-SYMBOL	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-INT	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-REF-16	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-REF-32	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-REF-64	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-REF-8	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-REF-DOUBLE	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-REF-LISPOBJ	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-REF-LONG	other	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-REF-SAP	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-REF-SINGLE	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-REF-WORD	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER<	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER<=	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER=	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER>	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER>=	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	SIGNED-POINTER-REF-16	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	SIGNED-POINTER-REF-32	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	SIGNED-POINTER-REF-64	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	SIGNED-POINTER-REF-8	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	SIGNED-POINTER-REF-WORD	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	POINTER-TYPE	class	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	FOREIGN-POINTER-P	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	UPDATE-FOREIGN-LINKAGE-TABLE	function	ncl-ffi	1	no	NCL-FFI foreign interface
NCL-FFI	VECTOR-POINTER	function	ncl-ffi	1	no	NCL-FFI foreign interface
